Page,Review Number,Rating,Review Text
1,1,"5,0","Şehzade Cağ Kebap'ın meşhur Cağ Kebabı pek çok kişinin tavsiye ettiği bir mekandır. 
Etler yumuşacık ve tadı mükemmel. Çok basit et, yufka ekmeği ve soğan/salata, başka hiçbir şeye ihtiyacınız yok. Bu aynı zamanda etin kalitesini de gösterir.
Ne yazık ki yemeğin gelmesi için biraz daha beklemeniz gerekiyor ama orada ne kadar yoğunluk olduğunu görüyorsunuz. Yan yemekler hemen getiriliyor.
Hizmet çok dost canlısı ve güzeldi.
Şehzade Cağ Kebap İstanbul'da gerçekten görülmeye değer.

The famous Cag Kebab from Şehzade Cağ Kebap recommended by many. 
The meat is tender and tastes perfect. It's very simple meat, yufka bread and onions/salad, you don't need anything else. This also shows the quality of the meat.
Unfortunately you have to wait a little longer for the food to arrive, but you can see how busy there is. Side dishes are brought immediately.
The service was very friendly and nice.
Şehzade Cağ Kebap is really worth a visit when in Istanbul."
1,2,"4,0","Gayet güzel bir et fakat fiyatlar el yakıyor. 3 kişi 3 porsiyon cağ kebap, 2 ayran, 1 kola 1.565 TL, porsiyonda iki şiş var. Bana pahalı geldi. Ortaya salata, soğan, yoğurt, ezme ve tatlı geliyor. Et lezzetliydi. Açık ayranları güzel. Hizmet çok iyi diyemem, kalabalık olsa da hızlı yer bulunabiliyor."
1,3,"2,0","Çağkebabı geyet lezzetliydi, puanım sadece ona geri kalanı gidilecek bir mekan değil karsonlar olsun, hijyen olsun, ve tek kişi gittiğinizde her an karson gelip sizi kaldırıp başka yere alabilir, ben müsaade etmedim ama başkalarını kaldırdılar. Bir işletmeye yakışmayan hareket bunlar, bu mekanı tavsiye etmiyorum bende gitmemeyi düşünüyorum."
1,4,"4,0","Son zamaanlarda tattığım nadir lezzetlerden kesinlikle tavsiye ederim, Kebabın tadı çok güzel hafta sonu ziyaret ettik bşraz kalabalık fakat personel hızlı servis veriyor sirkeci tarafınıza yolunuz düşerse uğramanızı tavsiye ederim."
1,5,"3,0","Eti çok güzel , garsonlar güleryüzlü, sadece hijyen olayı , yemek sonrası garson geldi bütün tabaklarımızı çöp bidonu gibi bir yere herşeyi attılar , küllük dahil 😔, sonuçta turistlerde var , lütfen dikkat edelim"
1,6,"1,0","Fiyat inanılmaz pahalı , personel çok soğuk ve tahammülsüz , Etler çok soğuk ve kötü geldi. Kırgız personel bulunuyor, ye artık kalk modunda , sıfır ikram ile , soğuk bir işletme"
1,7,"4,0","Çağ kebap lezzeti olarak 9/10 Bazı cağ kebapçılardaki gibi kuru değil, içi sulu ama çiğ de değil.  Cağ, olması gerektiği gibi. Erzurumdakilere göre farkı biraz daha kısa şişlerde servis ediliyor oluşu ve Erzurum’a göre biraz daha pahalı olması. Ama istanbulda hemen heryer daha pahalı olduğundan bu konu yine de gözardı edilebilir. Biz 3. Katta aile ile yedik. Genel olarak dar ve sıkışık bir ortam var. Zemin katta kokuya maruz kalınabiliyor. İşin kötü tarafı esnaflık 2/10. O kadar turist de geliyor halbuki… Kaba davranışlar, bir sn önce yiyip gitmeniz isteme tarzı servis, ufacık salataya bile ek ücret talebi gibi durumlar açıkçası esnaflığı konusunda sınıfta kaldı diyebilirim. Lezzet çok iyi esnaflık çok kötü."
1,8,"5,0","Daha iyisi İstanbul'da kesinlikle yok. Et o kadar lezzetli ki hiç durmak istemiyor insan. Servisi, o kadar kalabalığa rağmen çok hızlı ve herkes güler yüzlü."
1,9,"5,0",İstanbul gibi büyük ve kalabalık bir şehrin en yoğun yerlerinden biri olan Sirkeci'de güvenerek ve tad alarak yemek yiyebileceğim bir yer olarak tercihlerimin en üst sırasında artık. İşini severek ve titizlikle yapan personel içinde kocaman teşekkürler. İyi ki gelmişim diyebileceğiniz bir mekan.
1,10,"5,0","İstanbul'da artık lezzetli et vulmak şans işi.
Buranın cağ kebabı, lezzetli kırmızı et-kebap ihtiyacımızı karşılıyor. Bir de bohça yapıyorlar ki enfesss"
